bam	Num	Proportion
STV1_M_Con	1036	NA
STV1_M_Res	80	0.0717
STV1_F_Con	1205	NA
STV1_F_Res	115	0.0871
STV2_M_Con	1497	NA
STV2_M_Res	122	0.0685
STV2_M_Sus	162	0.091
STV2_F_Con	1387	NA
STV2_F_Res	296	0.154
STV2_F_Sus	239	0.1243
STV3_M_Con	1144	NA
STV3_M_Res	204	0.132
STV3_M_Sus	198	0.1281
STV3_F_Con	1631	NA
STV3_F_Res	174	0.0876
STV3_F_Sus	182	0.0916
STV4_M_Con	1361	NA
STV4_M_Res	158	0.0904
STV4_M_Sus	229	0.131
STV4_F_Con	1628	NA
STV4_F_Res	153	0.0781
STV4_F_Sus	177	0.0904
