### sacct (since yesterday)  20260722_153343
JobID                     JobName      State ExitCode    Elapsed               Start                 End 
------------ -------------------- ---------- -------- ---------- ------------------- ------------------- 
54343418_7         forensic_resid    TIMEOUT      0:0   08:00:29 2026-07-20T17:11:15 2026-07-21T01:11:44 
54345252     reduce_census_to_ce+  COMPLETED      0:0   04:03:53 2026-07-20T20:35:34 2026-07-21T00:39:27 
54345254                git_sweep  COMPLETED      0:0   00:00:02 2026-07-21T00:39:29 2026-07-21T00:39:31 
54352535     compare_fibroblast_+  COMPLETED      0:0   00:01:18 2026-07-21T07:21:21 2026-07-21T07:22:39 
54352536                git_sweep  COMPLETED      0:0   00:00:03 2026-07-21T07:22:40 2026-07-21T07:22:43 
54352746     compare_fibroblast_+  COMPLETED      0:0   00:00:48 2026-07-21T07:44:42 2026-07-21T07:45:30 
54352747                git_sweep  COMPLETED      0:0   00:00:02 2026-07-21T07:45:30 2026-07-21T07:45:32 
54362402            catalog_build     FAILED    127:0   00:00:07 2026-07-21T15:33:19 2026-07-21T15:33:26 
54362601            catalog_build CANCELLED+      0:0   01:06:28 2026-07-21T15:51:39 2026-07-21T16:58:07 
54365386_1          catalog_build CANCELLED+      0:0   00:01:47 2026-07-21T17:10:54 2026-07-21T17:12:41 
54365386_2          catalog_build CANCELLED+      0:0   00:01:47 2026-07-21T17:10:54 2026-07-21T17:12:41 
54365386_3          catalog_build CANCELLED+      0:0   00:01:47 2026-07-21T17:10:54 2026-07-21T17:12:41 
54365386_4          catalog_build CANCELLED+      0:0   00:01:47 2026-07-21T17:10:54 2026-07-21T17:12:41 
54365386_5          catalog_build CANCELLED+      0:0   00:01:47 2026-07-21T17:10:54 2026-07-21T17:12:41 
54365597           catalog_gather  COMPLETED      0:0   00:00:04 2026-07-21T19:09:35 2026-07-21T19:09:39 
54365599                     wrap  COMPLETED      0:0   00:00:29 2026-07-21T19:19:41 2026-07-21T19:20:10 
54365596_1          catalog_build  COMPLETED      0:0   01:26:53 2026-07-21T17:25:18 2026-07-21T18:52:11 
54365596_2          catalog_build  COMPLETED      0:0   01:19:57 2026-07-21T17:25:18 2026-07-21T18:45:15 
54365596_3          catalog_build  COMPLETED      0:0   01:18:59 2026-07-21T17:25:18 2026-07-21T18:44:17 
