### sacct (since yesterday)  20260729_114720
JobID                     JobName      State ExitCode    Elapsed               Start                 End 
------------ -------------------- ---------- -------- ---------- ------------------- ------------------- 
54666653            merge_concord  COMPLETED      0:0   00:02:04 2026-07-28T08:41:53 2026-07-28T08:43:57 
54667223_1          catalog_build CANCELLED+      0:0   00:07:27 2026-07-28T09:43:24 2026-07-28T09:50:51 
54667223_2          catalog_build CANCELLED+      0:0   00:07:27 2026-07-28T09:43:24 2026-07-28T09:50:51 
54667223_3          catalog_build CANCELLED+      0:0   00:07:27 2026-07-28T09:43:24 2026-07-28T09:50:51 
54667223_4          catalog_build CANCELLED+      0:0   00:07:27 2026-07-28T09:43:24 2026-07-28T09:50:51 
54667223_5          catalog_build CANCELLED+      0:0   00:07:27 2026-07-28T09:43:24 2026-07-28T09:50:51 
54667448           catalog_filter  COMPLETED      0:0   00:00:25 2026-07-28T10:30:51 2026-07-28T10:31:16 
54667449                     wrap  COMPLETED      0:0   00:00:00 2026-07-28T10:31:16 2026-07-28T10:31:16 
54667452                     wrap     FAILED      1:0   00:00:10 2026-07-28T10:41:50 2026-07-28T10:42:00 
54667451_1          catalog_count  COMPLETED      0:0   00:02:22 2026-07-28T10:31:18 2026-07-28T10:33:40 
54667451_2          catalog_count  COMPLETED      0:0   00:02:23 2026-07-28T10:31:18 2026-07-28T10:33:41 
54667451_3          catalog_count  COMPLETED      0:0   00:06:20 2026-07-28T10:31:18 2026-07-28T10:37:38 
54667451_4          catalog_count  COMPLETED      0:0   00:04:48 2026-07-28T10:31:18 2026-07-28T10:36:06 
54667451_5          catalog_count  COMPLETED      0:0   00:07:35 2026-07-28T10:31:18 2026-07-28T10:38:53 
54667451_6          catalog_count  COMPLETED      0:0   00:04:37 2026-07-28T10:31:18 2026-07-28T10:35:55 
54667451_7          catalog_count  COMPLETED      0:0   00:02:16 2026-07-28T10:31:18 2026-07-28T10:33:34 
54667451_8          catalog_count  COMPLETED      0:0   00:02:32 2026-07-28T10:31:18 2026-07-28T10:33:50 
54667451_9          catalog_count  COMPLETED      0:0   00:06:37 2026-07-28T10:31:18 2026-07-28T10:37:55 
