"filesize" "bam" "Num" "Proportion" "REP" "REPrep" "TRT"
"1" 5316818497 "R1_C1" 29.25 NA 11 1 "C"
"3" 5595390555 "R1_E1" 24.25 0.012 11 1 "Z"
"5" 8412553413 "R2_C1" 190 NA 21 1 "C"
"8" 7409280042 "R2_E1" 190 0.059 21 1 "Z"
"11" 9275290640 "R3_C1" 200 NA 31 1 "C"
"14" 6268447335 "R3_E1" 192.5 0.118 31 1 "Z"
"17" 2957429717 "R4_C1" 100 NA 41 1 "C"
"19" 6906355101 "R4_E1" 89.25 0.079 41 1 "Z"
"21" 3170208790 "R5_C1" 47.5 NA 51 1 "C"
"24" 9902939214 "R5_E1" 46 0.176 51 1 "Z"
