"filesize" "bam" "Num" "Proportion" "REP" "REPrep" "TRT"
"1" 5316818497 "R1_C1" 29.25 NA 11 1 "C"
"2" 2135808022 "R1_C2" 32 0.01 11 1 "Z"
"5" 8412553413 "R2_C1" 190 NA 21 1 "C"
"6" 4965188227 "R2_C2" 167.5 0.05 21 1 "Z"
"11" 9275290640 "R3_C1" 200 NA 31 1 "C"
"12" 8883093195 "R3_C2" 170 0.15 31 1 "Z"
"17" 2957429717 "R4_C1" 100 NA 41 1 "C"
"18" 9660555344 "R4_C3" 115 0.07 41 1 "Z"
"21" 3170208790 "R5_C1" 47.5 NA 51 1 "C"
"22" 3728615461 "R5_C2" 52.5 0.2 51 1 "Z"
