"filesize" "bam" "Num" "Proportion" "REP" "REPrep" "TRT"
"1" 5316818497 "R1_C1" 117 NA "11" 1 "C"
"2" 2135808022 "R1_C2" 128 NA "12" 1 "C"
"3" 5595390555 "R1_E1" 97 0.012 "11" 1 "Z"
"4" 4000000884 "R1_E2" 95 0.01 "12" 1 "Z"
"5" 8412553413 "R2_C1" 760 NA "21" 1 "C"
"6" 4965188227 "R2_C2" 670 NA "22" 1 "C"
"7" 4728915742 "R2_C3" 520 NA "23" 1 "C"
"8" 7409280042 "R2_E1" 760 0.059 "21" 1 "Z"
"9" 9198974836 "R2_E2" 648 0.061 "22" 1 "Z"
"10" 9522030341 "R2_E3" 648 0.065 "23" 1 "Z"
"17" 2957429717 "R4_C1" 400 NA "41" 1 "C"
"18" 9660555344 "R4_C3" 460 NA "43" 1 "C"
"19" 6906355101 "R4_E1" 357 0.079 "41" 1 "Z"
"20" 8278789726 "R4_E3" 451 0.062 "43" 1 "Z"
