3395400146	C_10_1
5464986746	C_11_1
4099239308	C_11_2
4585579628	C_1_1
3563013404	C_12_1
4016516131	C_12_2
4606727303	C_2_1
4493469559	C_3_1
4167606158	C_4_1
4351198041	C_5_1
4153685976	C_5_2
3709952330	C_6_1
3616708188	C_6_2
4679625713	C_7_1
3454696402	C_8_1
3399500846	C_8_2
3150124063	C_9_1
3643059947	Z_10_1
5223669121	Z_11_1
3878286305	Z_1_1
4118044606	Z_12_1
4221090930	Z_2_1
4039801135	Z_3_1
4234553891	Z_4_1
5460117238	Z_5_1
3089416139	Z_6_1
4414566766	Z_7_1
4908853781	Z_8_1
4352526131	Z_9_1
